"Messtag";"Behandlung";"Repetition";"coupling_rate_all";"coupling_rate_injected"
180123;"Control";1;0,374790321;0,599463403
180123;"Control";2;0,691540385;2,241915481
180123;"Control";3;0,221812849;0,285037923
180123;"Control";4;0,636185532;1,748653745
180123;"Control";5;0,859022104;6,093310577
180123;"Control";7;0,701671888;2,352013972
180604;"Control";1;0,466342678;0,873861669
180604;"Control";2;0,95513183;21,28751481
180604;"Control";3;0,277627982;0,384328262
180608;"Control";1;0,675334629;2,080094423
180608;"Control";2;0,647521569;1,837053029
180608;"Control";3;0,847461383;5,555716957
180608;"Control";4;0,796653888;3,917723732
180608;"Control";6;0,87512506;7,008011858
180608;"Control";7;0,879387395;7,291007393
180608;"Control";8;0,876806641;7,117320673
180621;"Control";1;0,504956923;1,020026227
180621;"Control";2;0,574352345;1,349360997
180621;"Control";3;0,407481796;0,687711861
180621;"Control";4;0,377210395;0,605678695
180621;"Control";5;0,501822614;1,007317129
180621;"Control";8;0,840473922;5,268567587
180621;"Control";9;0,552261046;1,233444266
180131;"NIM-1";1;0,715758154;2,51813082
180131;"NIM-1";2;0,8688168;6,622927313
180131;"NIM-1";3;0,935993834;14,62349485
180131;"NIM-1";4;0,202370315;0,253714623
180131;"NIM-1";5;0,877433644;7,158845812
180131;"NIM-1";6;0,900112859;9,011298645
180131;"NIM-1";7;0,632463689;1,720819602
180131;"NIM-1";8;0,925498348;12,42252119
180131;"NIM-1";9;0,650160093;1,858450334
180131;"NIM-1";10;0,604325118;1,527327474
180926;"NIM-1";1;0,808350775;4,217866117
180926;"NIM-1";2;0,756362973;3,104466431
180926;"NIM-1";3;0,57978219;1,379718273
180926;"NIM-1";4;0,692977955;2,257095106
180926;"NIM-1";5;0,285371538;0,399328537
180926;"NIM-1";6;0,792958942;3,829959854
180926;"NIM-1";7;0,409574937;0,69369504
180926;"NIM-1";8;0,199317858;0,248935061
180926;"NIM-1";9;0,528206155;1,119569831
180126;"7d_NIM-2";1;0,508372713;1,034061223
180126;"7d_NIM-2";2;0,554318718;1,243755887
180126;"7d_NIM-2";3;0,596907379;1,480819417
180126;"7d_NIM-2";4;0,291112014;0,410660104
180126;"7d_NIM-2";5;0,576062047;1,358835749
180821;"7d_NIM-2";1;0,22133047;0,284241853
180821;"7d_NIM-2";2;0,148411767;0,174276442
180605;"7d_NIM-2";3;0,586311951;1,417280371
180605;"7d_NIM-2";4;0,483034839;0,934366329
180605;"7d_NIM-2";6;0,32943259;0,491274383
180605;"7d_NIM-2";7;0,339578378;0,514184221
180607;"7d_NIM-2";1;0,022255257;0,022761827
180607;"7d_NIM-2";2;0,66764466;2,008827837
180607;"7d_NIM-2";3;0,323801846;0,478856447
180607;"7d_NIM-2";5;0,054228428;0,057337765
180607;"7d_NIM-2";6;0,420831045;0,726611882
180607;"7d_NIM-2";7;0,351037858;0,540921935
180607;"7d_NIM-2";9;0,135102745;0,156206698
180607;"7d_NIM-2";10;0,14212096;0,1656655
180607;"7d_NIM-2";11;0,007106621;0,007157486
180607;"7d_NIM-2";12;0,239770554;0,315392353
180607;"7d_NIM-2";13;0,209845102;0,26557464
180607;"7d_NIM-2";14;0,49261873;0,970904444
180312;"30d_NIM-2";1;0,001503987;0,001506253
180312;"30d_NIM-2";2;0,231208059;0,300742043
180312;"30d_NIM-2";3;0,036138229;0,037493165
180412;"30d_NIM-2";1;0,496737249;0,987033606
180412;"30d_NIM-2";2;0,544378971;1,194806509
180412;"30d_NIM-2";3;0,199413626;0,249084461
180412;"30d_NIM-2";4;0,085689804;0,093720714
180412;"30d_NIM-2";5;0,17800007;0,216545116
180412;"30d_NIM-2";6;0,001755327;0,001758414
180711;"30d_NIM-2";5;0,045470067;0,047636083
180905;"30d_NIM-2";1;0,193481819;0,239897653
180905;"30d_NIM-2";2;0,020397118;0,020821824
180905;"30d_NIM-2";3;0,020882441;0,021327818
180905;"30d_NIM-2";4;0,011891142;0,012034242
180316;"30d_NIM-2_1d_MAT";1;0,458923149;0,848166296
180316;"30d_NIM-2_1d_MAT";2;0,523685406;1,099452783
180316;"30d_NIM-2_1d_MAT";3;0,502493907;1,010025633
180316;"30d_NIM-2_1d_MAT";4;0,092078768;0,101417133
180316;"30d_NIM-2_1d_MAT";7;0,721236505;2,587270278
180316;"30d_NIM-2_1d_MAT";9;0,574585331;1,350647667
180417;"30d_NIM-2_1d_MAT";2;0,200401441;0,250627567
180417;"30d_NIM-2_1d_MAT";3;0,735437287;2,779822144
180417;"30d_NIM-2_1d_MAT";4;0,733115945;2,746945467
180417;"30d_NIM-2_1d_MAT";5;0,276603328;0,382367432
180417;"30d_NIM-2_1d_MAT";6;0,325333207;0,482213162
180417;"30d_NIM-2_1d_MAT";7;0,394916243;0,652663765
180417;"30d_NIM-2_1d_MAT";9;0,470969431;0,890249938
180904;"30d_NIM-2_1d_MAT";1;0,025077284;0,02572233
180904;"30d_NIM-2_1d_MAT";2;0,026073852;0,026771899
180904;"30d_NIM-2_1d_MAT";3;0;0
180904;"30d_NIM-2_1d_MAT";4;0,013153603;0,013328926
180904;"30d_NIM-2_1d_MAT";5;0,121170457;0,137877087
180904;"30d_NIM-2_1d_MAT";6;0,007438633;0,007494381
180904;"30d_NIM-2_1d_MAT";7;0,006826302;0,006873221
180904;"30d_NIM-2_1d_MAT";8;0;0
