"Gene";"contrast";"ratio";"SE";"df";"t.ratio";"p.value";"p"
"ACTA2";"NIM-1 / Control";0,111190937383272;0,0282221291315193;38;-8,65390432865904;6,42900621627973e-10;0
"ACTA2";"7d_NIM-2 / Control";0,22427385238069;0,0569244739874222;38;-5,88963123860962;3,17878964251062e-06;0
"ACTA2";"30d_NIM-2 / Control";0,0741539148337235;0,0188215101814573;38;-10,2499610095435;6,72528699396935e-12;0
"ACTA2";"30d_NIM-2_1d_MAT / Control";0,067555742778926;0,0171467831925067;38;-10,6171147333707;2,41362485553509e-12;0
"ALCAM";"NIM-1 / Control";0,471392267950495;0,0361541164114459;52;-9,80572934673583;2,03836947321179e-13;0
"ALCAM";"7d_NIM-2 / Control";0,0350972061363109;0,00269183133165424;52;-43,6739051162054;0;0
"ALCAM";"30d_NIM-2 / Control";0,0198231952367305;0,00152036882435848;52;-51,1223431538272;0;0
"ALCAM";"30d_NIM-2_1d_MAT / Control";0,0128389111903367;0,000984698989208694;52;-56,7858673115372;0;0
"ENG";"NIM-1 / Control";0,444421340578337;0,136125479537329;38;-2,64768798829532;0,0409569187239662;0,041
"ENG";"7d_NIM-2 / Control";0,19419198416221;0,0594806651993498;38;-5,35069329414428;1,73253263902051e-05;0
"ENG";"30d_NIM-2 / Control";0,158341476143045;0,0484997172785885;38;-6,01701553238031;2,12762774953745e-06;0
"ENG";"30d_NIM-2_1d_MAT / Control";0,159565672557264;0,0488746864997258;38;-5,99187129697898;2,30309576454424e-06;0
"GJA1";"NIM-1 / Control";0,158219574268345;0,0183705285374449;52;-15,8798230114734;0;0
"GJA1";"7d_NIM-2 / Control";0,0952810639389551;0,0110628758310272;52;-20,2477693188522;0;0
"GJA1";"30d_NIM-2 / Control";0,127111517806045;0,0147586401751624;52;-17,7653032517164;0;0
"GJA1";"30d_NIM-2_1d_MAT / Control";0,123635646666777;0,0143550643834079;52;-18,0040975827589;0;0
"GJA4";"NIM-1 / Control";1,11987163636815;0,09997405012874;52;1,2681813312882;0,51811579790936;0,518
"GJA4";"7d_NIM-2 / Control";0,411320035315972;0,0367196815190306;52;-9,95133935710292;1,23012711128467e-13;0
"GJA4";"30d_NIM-2 / Control";0,249129375690905;0,0222404710370541;52;-15,5678247419143;0;0
"GJA4";"30d_NIM-2_1d_MAT / Control";0,311552087355996;0,0278131198143878;52;-13,0632068123326;0;0
"GJA5";"NIM-1 / Control";1,36131406688012;0,558012892228723;52;0,752487898547531;0,826734987336237;0,827
"GJA5";"7d_NIM-2 / Control";0,0164005151422048;0,00672269471916694;52;-10,0277311150552;9,44799793956008e-14;0
"GJA5";"30d_NIM-2 / Control";0,0063694534096437;0,00261088694042296;52;-12,3350785237556;0;0
"GJA5";"30d_NIM-2_1d_MAT / Control";0,0137654381311382;0,00564255679951656;52;-10,455026940205;2,18713935851156e-14;0
"GJB2";"NIM-1 / Control";1,03979491339291;0,228486837526044;52;0,177587611135123;0,994068053420324;0,994
"GJB2";"7d_NIM-2 / Control";6,95221894871862;1,52769599170092;52;8,82425291322284;2,32035501923633e-11;0
"GJB2";"30d_NIM-2 / Control";8,83013904913601;1,94035431436076;52;9,91239102957244;1,4077627952247e-13;0
"GJB2";"30d_NIM-2_1d_MAT / Control";14,1307829240772;3,10512954093417;52;12,0521020620018;1,11022302462516e-16;0
"GJC1";"NIM-1 / Control";0,446737727876629;0,0579460594601533;52;-6,2122245375785;3,52866080466363e-07;0
