Gen;Run;BehaNAlung;Repetition;delta_ct
NT5E;1;Control;1;0,2624291709
NT5E;1;Control;2;0,197510328
NT5E;1;Control;3;0,2073298865
NT5E;1;NIM-1;1;0,0476956003
NT5E;1;NIM-1;2;0,054033577
NT5E;1;NIM-1;3;0,0497210302
NT5E;1;7d_NIM-2;1;0,144252344
NT5E;1;7d_NIM-2;2;0,134592196
NT5E;1;7d_NIM-2;3;0,1546058342
NT5E;1;30d_NIM-2;1;0,233797812
NT5E;1;30d_NIM-2;2;0,1938930952
NT5E;1;30d_NIM-2;3;0,202126913
NT5E;1;30d_NIM-2_1d_MAT;1;0,069348092
NT5E;1;30d_NIM-2_1d_MAT;2;0,0669858414
NT5E;1;30d_NIM-2_1d_MAT;3;0,085377516
NT5E;2;Control;1;0,1163599645
NT5E;2;Control;2;0,1452556984
NT5E;2;Control;3;0,107817754
NT5E;2;NIM-1;1;0,0354026214
NT5E;2;NIM-1;2;0,0448111015
NT5E;2;NIM-1;3;0,0441941738
NT5E;2;7d_NIM-2;1;0,134592196
NT5E;2;7d_NIM-2;2;0,1229945817
NT5E;2;7d_NIM-2;3;0,0999026437
NT5E;2;30d_NIM-2;1;0,1111053351
NT5E;2;30d_NIM-2;2;0,1022377573
NT5E;2;30d_NIM-2;3;0,1142289313
NT5E;2;30d_NIM-2_1d_MAT;1;0,0645547322
NT5E;2;30d_NIM-2_1d_MAT;2;0,067296098
NT5E;2;30d_NIM-2_1d_MAT;3;0,0706418368
NT5E;3;Control;1;0,1131780952
NT5E;3;Control;2;0,1229945817
NT5E;3;Control;3;0,1213012789
NT5E;3;NIM-1;1;0,0405730809
NT5E;3;NIM-1;2;0,0363139246
NT5E;3;NIM-1;3;0,0363139246
NT5E;3;7d_NIM-2;1;0,1330462728
NT5E;3;7d_NIM-2;2;0,1582195742
NT5E;3;7d_NIM-2;3;0,1416104857
NT5E;3;30d_NIM-2;1;0,1349035296
NT5E;3;30d_NIM-2;2;0,1349035296
NT5E;3;30d_NIM-2;3;0,1285142283
NT5E;3;30d_NIM-2_1d_MAT;1;0,0508832042
NT5E;3;30d_NIM-2_1d_MAT;2;0,0530439982
NT5E;3;30d_NIM-2_1d_MAT;3;0,0526775965
NT5E;4;Control;1;0,2952481654
NT5E;4;Control;2;0,3685673043
NT5E;4;Control;3;0,3415100642
NT5E;4;NIM-1;1;0,0363139246
NT5E;4;NIM-1;2;0,0485854003
NT5E;4;NIM-1;3;0,0383844734
NT5E;4;7d_NIM-2;1;0,0733021843
NT5E;4;7d_NIM-2;2;0,0579117539
NT5E;4;7d_NIM-2;3;0,061639544
NT5E;4;30d_NIM-2;1;0,1288115025
NT5E;4;30d_NIM-2;2;0,1306096441
NT5E;4;30d_NIM-2;3;0,1144931613
NT5E;4;30d_NIM-2_1d_MAT;1;0,0402928221
NT5E;4;30d_NIM-2_1d_MAT;2;0,036063086
NT5E;4;30d_NIM-2_1d_MAT;3;0,0459645895
THY1;1;Control;1;0,3763116869
THY1;1;Control;2;0,3391510819
THY1;1;Control;3;0,3486859166
THY1;1;NIM-1;1;0,2116863281
THY1;1;NIM-1;2;0,179244406
THY1;1;NIM-1;3;0,1842836522
THY1;1;7d_NIM-2;1;0,033415625
THY1;1;7d_NIM-2;2;0,035076939
THY1;1;7d_NIM-2;3;0,0301158474
THY1;1;30d_NIM-2;1;0,0033383093
THY1;1;30d_NIM-2;2;0,002866157
THY1;1;30d_NIM-2;3;0,003158233
THY1;1;30d_NIM-2_1d_MAT;1;0,0028794321
THY1;1;30d_NIM-2_1d_MAT;2;0,0025416833
THY1;1;30d_NIM-2_1d_MAT;3;0,0030225879
THY1;2;Control;1;0,380684218
THY1;2;Control;2;0,3913867081
THY1;2;Control;3;0,5973575676
THY1;2;NIM-1;1;0,1118781339
THY1;2;NIM-1;2;0,138696184
THY1;2;NIM-1;3;0,1466043687
THY1;2;7d_NIM-2;1;0,0234652016
THY1;2;7d_NIM-2;2;0,0229822948
THY1;2;7d_NIM-2;3;0,0176604592
THY1;2;30d_NIM-2;1;0,0019941643
THY1;2;30d_NIM-2;2;0,0018735627
THY1;2;30d_NIM-2;3;0,0015008547
THY1;2;30d_NIM-2_1d_MAT;1;0,0021323599
THY1;2;30d_NIM-2_1d_MAT;2;0,0015609788
THY1;2;30d_NIM-2_1d_MAT;3;0,0019621712
THY1;3;Control;1;0,4464797555
THY1;3;Control;2;0,4080072425
THY1;3;Control;3;0,465439858
THY1;3;NIM-1;1;0,1229945817
THY1;3;NIM-1;2;0,1196312884
THY1;3;NIM-1;3;0,0773029171
THY1;3;7d_NIM-2;1;0,0206173111
THY1;3;7d_NIM-2;2;0,0200535296
THY1;3;7d_NIM-2;3;0,0188407473
THY1;3;30d_NIM-2;1;0,0018997167
THY1;3;30d_NIM-2;2;0,0018097423
THY1;3;30d_NIM-2;3;0,0016768856
THY1;3;30d_NIM-2_1d_MAT;1;0,0013557749
THY1;3;30d_NIM-2_1d_MAT;2;0,00118848
THY1;3;30d_NIM-2_1d_MAT;3;0,0012915626
THY1;4;Control;1;0,5105060629
THY1;4;Control;2;0,4233726562
THY1;4;Control;3;0,5140569133
THY1;4;NIM-1;1;0,1163599645
THY1;4;NIM-1;2;0,134592196
THY1;4;NIM-1;3;0,1452556984
THY1;4;7d_NIM-2;1;0,0134150849
THY1;4;7d_NIM-2;2;0,0139847667
THY1;4;7d_NIM-2;3;0,0138881669
THY1;4;30d_NIM-2;1;0,0020836567
THY1;4;30d_NIM-2;2;0,0025299653
THY1;4;30d_NIM-2;3;0,0016461749
THY1;4;30d_NIM-2_1d_MAT;1;0,0015078061
THY1;4;30d_NIM-2_1d_MAT;2;0,0016048639
THY1;4;30d_NIM-2_1d_MAT;3;0,0017081693
ALCAM;1;Control;1;0,2660925456
ALCAM;1;Control;2;0,2268797888
ALCAM;1;Control;3;0,2660925456
ALCAM;1;NIM-1;1;0,1051120519
ALCAM;1;NIM-1;2;0,1626677319
ALCAM;1;NIM-1;3;0,1358418578
ALCAM;1;7d_NIM-2;1;0,0114911474
ALCAM;1;7d_NIM-2;2;0,0117326008
ALCAM;1;7d_NIM-2;3;0,0114911474
ALCAM;1;30d_NIM-2;1;0,0065846996
ALCAM;1;30d_NIM-2;2;0,006912069
ALCAM;1;30d_NIM-2;3;0,0075115863
ALCAM;1;30d_NIM-2_1d_MAT;1;0,0034480586
ALCAM;1;30d_NIM-2_1d_MAT;2;0,0034242411
ALCAM;1;30d_NIM-2_1d_MAT;3;0,0034242411
ALCAM;2;Control;1;0,2925320633
ALCAM;2;Control;2;0,2748405283
ALCAM;2;Control;3;0,17273911
ALCAM;2;NIM-1;1;0,1022377573
ALCAM;2;NIM-1;2;0,1051120519
ALCAM;2;NIM-1;3;0,1134398944
ALCAM;2;7d_NIM-2;1;0,0079032769
ALCAM;2;7d_NIM-2;2;0,0082962016
ALCAM;2;7d_NIM-2;3;0,0071228319
ALCAM;2;30d_NIM-2;1;0,0032847516
ALCAM;2;30d_NIM-2;2;0,0042450581
ALCAM;2;30d_NIM-2;3;0,00390625
ALCAM;2;30d_NIM-2_1d_MAT;1;0,0037384778
ALCAM;2;30d_NIM-2_1d_MAT;2;0,0030365875
ALCAM;2;30d_NIM-2_1d_MAT;3;0,0034881231
ALCAM;3;Control;1;0,2171353716
ALCAM;3;Control;2;0,2600149835
ALCAM;3;Control;3;0,2201664684
ALCAM;3;NIM-1;1;0,097846677
ALCAM;3;NIM-1;2;0,1055988967
ALCAM;3;NIM-1;3;0,0869703028
ALCAM;3;7d_NIM-2;1;0,0110485435
ALCAM;3;7d_NIM-2;2;0,0106721895
ALCAM;3;7d_NIM-2;3;0,0105984713
ALCAM;3;30d_NIM-2;1;0,0037212422
ALCAM;3;30d_NIM-2;2;0,0043043169
ALCAM;3;30d_NIM-2;3;0,0042157353
ALCAM;3;30d_NIM-2_1d_MAT;1;0,0025652823
ALCAM;3;30d_NIM-2_1d_MAT;2;0,002426905
ALCAM;3;30d_NIM-2_1d_MAT;3;0,0028071723
ALCAM;4;Control;1;0,2381594995
ALCAM;4;Control;2;0,2073298865
ALCAM;4;Control;3;0,2365144117
ALCAM;4;NIM-1;1;0,1171693121
ALCAM;4;NIM-1;2;0,1116199389
ALCAM;4;NIM-1;3;0,1171693121
ALCAM;4;7d_NIM-2;1;0,0047429488
ALCAM;4;7d_NIM-2;2;0,0050833666
ALCAM;4;7d_NIM-2;3;0,005190179
ALCAM;4;30d_NIM-2;1;0,0041962994
ALCAM;4;30d_NIM-2;2;0,0049902691
ALCAM;4;30d_NIM-2;3;0,0045287648
ALCAM;4;30d_NIM-2_1d_MAT;1;0,0029535519
ALCAM;4;30d_NIM-2_1d_MAT;2;0,002625243
ALCAM;4;30d_NIM-2_1d_MAT;3;0,0029947819
MYT1L;1;Control;1;0,000000028
MYT1L;1;Control;2;2,84E-007
MYT1L;1;Control;3;NA
MYT1L;1;NIM-1;1;4,77E-007
