"Gen";"Treatment";"delta_ct";"SE";"df";"lower.CL";"upper.CL";"sig_star"
"ACTA2";"Control";0,0683407025195802;0,0122654877821175;38;0,0475212126333007;0,0982814065985538;""
"ACTA2";"NIM-1";0,00759886677458346;0,00136381108395672;38;0,00528392817828649;0,0109280017270397;"*"
"ACTA2";"7d_NIM-2";0,015327032628469;0,00275082819622379;38;0,0106577654270723;0,0220419496752507;"*"
"ACTA2";"30d_NIM-2";0,00506773063431379;0,00090953393638922;38;0,00352388395440504;0,00728795105464772;"*"
"ACTA2";"30d_NIM-2_1d_MAT";0,00461680692074386;0,000828604137666792;38;0,00321033081719791;0,00663947342412295;"*"
"ALCAM";"Control";0,237609869430389;0,0128861972604572;52;0,213109151484009;0,264927384195244;""
"ALCAM";"NIM-1";0,112007455238212;0,00607445375186438;52;0,100458006239053;0,124884720477988;"*"
"ALCAM";"7d_NIM-2";0,00833944256742028;0,000452269521563431;52;0,00747953581916857;0,00929821101425412;"*"
"ALCAM";"30d_NIM-2";0,00471018683189265;0,000255445604153065;52;0,00422450431660149;0,00525170726045864;"*"
"ALCAM";"30d_NIM-2_1d_MAT";0,00305065201156426;0,00016544474220817;52;0,0027360894697512;0,00340137915757094;"*"
"ENG";"Control";0,399302927842241;0,0864832525023319;38;0,257563368528296;0,619043108088056;""
"ENG";"NIM-1";0,177458742488504;0,0384350030146612;38;0,114466657525218;0,275115967972274;"*"
"ENG";"7d_NIM-2";0,0775414278394645;0,0167943544002292;38;0,0500167415820124;0,120213209441561;"*"
"ENG";"30d_NIM-2";0,0632262150227804;0,013693885862871;38;0,0407829639731456;0,0980201995308416;"*"
"ENG";"30d_NIM-2_1d_MAT";0,063715040235232;0,0137997583504743;38;0,0410982721253321;0,09877802988401;"*"
"GJA1";"Control";0,809909903759196;0,0664941060579093;52;0,686891304929348;0,954960482830249;""
"GJA1";"NIM-1";0,128143600168496;0,0105206691518366;52;0,108679649834549;0,151093441036495;"*"
"GJA1";"7d_NIM-2";0,077169077324873;0,00633562917086732;52;0,0654477343440855;0,0909896508237245;"*"
"GJA1";"30d_NIM-2";0,10294887715298;0,00845216674617701;52;0,0873117963373445;0,121386476417347;"*"
"GJA1";"30d_NIM-2_1d_MAT";0,100133734693095;0,00822104180199888;52;0,0849242506747263;0,118067156835936;"*"
"GJA4";"Control";0,000480447581454216;3,03284388057663e-05;52;0,00042328587474683;0,000545328564680469;""
