"Gen";"Df";"predictor";"Sum.Sq";"Mean.Sq";"F.value";"Pr..F.";"p"
"ALCAM";2;"Run";0,0867021941071041;0,0433510970535521;0,444200448558894;0,644058670846038;"0.644"
"ALCAM";1;"Treat";96,3440292458738;96,3440292458738;987,196724321;9,8830438155062e-33;"<0.001"
"ALCAM";2;"Conc";0,627804387240665;0,313902193620333;3,21642368213949;0,0492664133718571;"0.049"
"ALCAM";2;"Treat:Conc";0,161775648221146;0,080887824110573;0,828823494558493;0,442976227263057;"0.443"
"ALCAM";46;"Residuals";4,48930313090173;0,0975935463239506;NA;NA;NA
"ENG";2;"Run";1,27743025250785;0,638715126253926;1,92675321179365;0,157191409172372;"0.157"
"ENG";1;"Treat";23,5428525237698;23,5428525237698;71,0195591906556;6,98946866667772e-11;"<0.001"
"ENG";2;"Conc";0,177326310113988;0,0886631550569939;0,267461990098394;0,766501354556889;"0.767"
"ENG";2;"Treat:Conc";2,28946181899111;1,14473090949555;3,45320451301348;0,0400626404354554;"0.04"
"ENG";46;"Residuals";15,2489149247761;0,331498150538611;NA;NA;NA
"GJA1";2;"Run";0,962721517096124;0,481360758548062;4,92681305506962;0,0115145915868904;"0.012"
"GJA1";1;"Treat";28,3973090694183;28,3973090694183;290,65151358425;1,64801490314044e-21;"<0.001"
"GJA1";2;"Conc";0,666290015606371;0,333145007803185;3,40979846098552;0,0416047797150325;"0.042"
"GJA1";2;"Treat:Conc";0,387333657207018;0,193666828603509;1,98221446711973;0,149358101279882;"0.149"
"GJA1";46;"Residuals";4,49430385235065;0,0977022576597967;NA;NA;NA
"GJA4";2;"Run";3,6533982262547;1,82669911312735;18,0212334085428;1,66165093809049e-06;"<0.001"
"GJA4";1;"Treat";0,586636825538648;0,586636825538648;5,78744418448817;0,020218279521552;"0.02"
"GJA4";2;"Conc";0,55951597461746;0,27975798730873;2,75994220994802;0,0737917631718223;"0.074"
"GJA4";2;"Treat:Conc";1,02204282958075;0,511021414790377;5,04146311043789;0,0104791201538659;"0.01"
"GJA4";46;"Residuals";4,6627307520486;0,101363712001056;NA;NA;NA
"GJA5";2;"Run";2,71148930678665;1,35574465339332;4,30999205439306;0,0192461573155255;"0.019"
"GJA5";1;"Treat";130,771444420606;130,771444420606;415,730119225334;1,12848324236312e-24;"<0.001"
"GJA5";2;"Conc";4,27674009566703;2,13837004783352;6,79800424987605;0,00259080746644236;"0.003"
