"Protein";"Treatment";"Int_House_Cont";"SE";"df";"lower.CL";"upper.CL";"sig_star"
"Cx26";"NIM-1";1,27101551572132;0,645706152342356;9;0,402760367957073;4,01102136587705;""
"Cx26";"7d_NIM-2";2,15932145072217;1,09698672311239;9;0,684247431501182;6,81430271111048;""
"Cx26";"30d_NIM-2";4,59812964038565;2,33595936583024;9;1,45705883442741;14,5105988105839;"*"
"Cx26";"30d_NIM-2_1d_MAT";2,24304165305158;1,13951857976621;9;0,710776753195968;7,07850367179525;""
"Cx43";"NIM-1";1,09711305560135;0,326761710551403;9;0,559297571365805;2,15208704345275;""
"Cx43";"7d_NIM-2";0,0711013461870903;0,0211766666926285;9;0,0362467751525223;0,139471757372729;"*"
"Cx43";"30d_NIM-2";0,144953047324056;0,0431724929818515;9;0,073895654523936;0,284338586130585;"*"
"Cx43";"30d_NIM-2_1d_MAT";0,183115659167802;0,0545387603519327;9;0,0933505830859553;0,359198020237151;"*"
"Cx45";"NIM-1";0,879706395887184;0,165322377243838;9;0,57505356326339;1,34575871258511;""
"Cx45";"7d_NIM-2";0,714966884233223;0,134363039196563;9;0,467365312240341;1,0937432286102;""
"Cx45";"30d_NIM-2";0,693614857270956;0,130350373297031;9;0,453407747256213;1,06107928931163;""
"Cx45";"30d_NIM-2_1d_MAT";0,661738964226832;0,124359967362207;9;0,432570856717592;1,01231613266514;""
"NeuN";"NIM-1";2,02253737723587;0,636730764251699;9;0,992215966623857;4,1227490585897;""
"NeuN";"7d_NIM-2";0,325644610302242;0,102518719271121;9;0,15975466531475;0,663795401592623;"*"
"NeuN";"30d_NIM-2";0,304183350993282;0,0957623328649156;9;0,149226205178548;0,620048676509556;"*"
"NeuN";"30d_NIM-2_1d_MAT";0,258722838409604;0,0814505543798924;9;0,126924196353339;0,52738176831451;"*"
"Tuj1";"NIM-1";1,15342171309153;0,143342395400697;9;0,870751677905349;1,52785424592156;""
"Tuj1";"7d_NIM-2";1,54684340914405;0,192235187754691;9;1,16775718601555;2,04899148647201;"*"
"Tuj1";"30d_NIM-2";1,5553375882294;0,19329080857684;9;1,17416968944518;2,06024311060382;"*"
"Tuj1";"30d_NIM-2_1d_MAT";1,58118739793617;0,196503314117496;9;1,19368446441449;2,09448448222746;"*"
