Protein,Run,Behandlung,Int_House,Int_House_Cont
NeuN,1,Control,"0,2524340878",1
NeuN,2,Control,"1,0014572868",1
NeuN,3,Control,"1,6279558651",1
NeuN,4,Control,"0,7423902805",1
NeuN,1,NIM-1,"2,0693885794","8,1977382595"
NeuN,2,NIM-1,"0,8790641576","0,8777849731"
NeuN,3,NIM-1,"1,6013303511","0,9836448183"
NeuN,4,NIM-1,"1,7550843931","2,3640993681"
NeuN,1,7d_NIM-2,"0,0448550159","0,1776900114"
NeuN,2,7d_NIM-2,"0,2146138617","0,2143015628"
NeuN,3,7d_NIM-2,"0,6219442419","0,3820399897"
NeuN,4,7d_NIM-2,"0,5738662419","0,7729980537"
NeuN,1,30d_NIM-2,"0,0560643389","0,222094961"
NeuN,2,30d_NIM-2,"0,1649492388","0,1647092102"
NeuN,3,30d_NIM-2,"0,5744703398","0,3528783256"
NeuN,4,30d_NIM-2,"0,4923709972","0,663223927"
NeuN,1,30d_NIM-2_1d_MAT,"0,0435665395","0,1725858019"
NeuN,2,30d_NIM-2_1d_MAT,"0,1580906919","0,1578606436"
NeuN,3,30d_NIM-2_1d_MAT,"0,4464431693","0,2742354255"
NeuN,4,30d_NIM-2_1d_MAT,"0,4452140449","0,5997034937"
Tuj1,5,Control,"0,7573259953",1
Tuj1,6,Control,"1,4859066375",1
Tuj1,7,Control,"0,6851324048",1
Tuj1,8,Control,"0,561496906",1
Tuj1,5,NIM-1,"0,7834692371","1,0345204601"
Tuj1,6,NIM-1,"1,7383099983","1,1698648855"
Tuj1,7,NIM-1,"0,7533914441","1,0996289751"
Tuj1,8,NIM-1,"0,7467562975","1,3299384012"
Tuj1,5,7d_NIM-2,"1,0707903246","1,4139093749"
Tuj1,6,7d_NIM-2,"1,8677054561","1,2569467078"
Tuj1,7,7d_NIM-2,"0,9281629531","1,354720557"
Tuj1,8,7d_NIM-2,"1,3351947391","2,3779200291"
Tuj1,5,30d_NIM-2,"0,7638947643","1,0086736347"
Tuj1,6,30d_NIM-2,"1,6860722441","1,1347094101"
Tuj1,7,30d_NIM-2,"1,5316447245","2,2355455877"
Tuj1,8,30d_NIM-2,"1,2841837875","2,2870718853"
Tuj1,5,30d_NIM-2_1d_MAT,"0,896821169","1,1841943556"
Tuj1,6,30d_NIM-2_1d_MAT,"1,3085547998","0,8806440235"
Tuj1,7,30d_NIM-2_1d_MAT,"1,3533048153","1,975245669"
Tuj1,8,30d_NIM-2_1d_MAT,"1,7038691824","3,0345121478"
Cx26,9,Control,"0,1931851386",1
Cx26,4,Control,"0,1390086738",1
Cx26,7,Control,"0,1974757851",1
Cx26,8,Control,"0,4100189727",1
Cx26,9,NIM-1,"0,0868817648","0,44973317"
Cx26,4,NIM-1,"0,1847226102","1,3288567192"
Cx26,7,NIM-1,"0,303994574","1,5394017742"
Cx26,8,NIM-1,"1,1631140512","2,83673227"
Cx26,9,7d_NIM-2,"1,279654681","6,6239809647"
Cx26,4,7d_NIM-2,"1,1653118923","8,3830156826"
Cx26,7,7d_NIM-2,"0,2186082638","1,1070130122"
Cx26,8,7d_NIM-2,"0,1450110407","0,3536690991"
Cx26,9,30d_NIM-2,"0,8344489828","4,3194263734"
Cx26,4,30d_NIM-2,"0,7964500777","5,7294991462"
Cx26,7,30d_NIM-2,"1,2006039091","6,0797525538"
Cx26,8,30d_NIM-2,"1,2181482941","2,9709559195"
Cx26,9,30d_NIM-2_1d_MAT,"1,6141900941","8,3556639267"
Cx26,4,30d_NIM-2_1d_MAT,"0,4686411008","3,3713083366"
Cx26,7,30d_NIM-2_1d_MAT,"0,3189656511","1,6152139911"
Cx26,8,30d_NIM-2_1d_MAT,"0,2281097249","0,5563394382"
Cx43,5,Control,"2,6381288193",1
Cx43,2,Control,"2,8893457917",1
Cx43,3,Control,"2,0308911775",1
Cx43,7,Control,"4,4376915874",1
Cx43,5,NIM-1,"3,3087909582","1,2542188743"
Cx43,2,NIM-1,"2,9918947312","1,0354920965"
Cx43,3,NIM-1,"2,0447007778","1,0067997736"
Cx43,7,NIM-1,"4,9169910656","1,1080064869"
Cx43,5,7d_NIM-2,"0,1451095916","0,0550047407"
Cx43,2,7d_NIM-2,"0,1312484774","0,0454249809"
Cx43,3,7d_NIM-2,"0,3133781874","0,1543057506"
Cx43,7,7d_NIM-2,"0,2941652876","0,0662879071"
Cx43,5,30d_NIM-2,"0,1944553658","0,0737095795"
Cx43,2,30d_NIM-2,"0,1201069988","0,0415689251"
Cx43,3,30d_NIM-2,"0,7287050424","0,358810482"
Cx43,7,30d_NIM-2,"1,782003964","0,4015610209"
Cx43,5,30d_NIM-2_1d_MAT,"0,3892513338","0,1475482664"
Cx43,2,30d_NIM-2_1d_MAT,"0,1977358039","0,0684361853"
Cx43,3,30d_NIM-2_1d_MAT,"0,3916021338","0,1928228052"
Cx43,7,30d_NIM-2_1d_MAT,"2,5625995961","0,5774623012"
Cx45,9,Control,"2,0620550728",1
Cx45,4,Control,"1,1279330087",1
Cx45,7,Control,"0,8696013716",1
Cx45,8,Control,"0,3697294764",1
Cx45,9,NIM-1,"1,6966474706","0,8227944506"
Cx45,4,NIM-1,"1,1592915507","1,0278017771"
Cx45,7,NIM-1,"0,9224428284","1,0607651488"
Cx45,8,NIM-1,"0,2468397586","0,6676226115"
Cx45,9,7d_NIM-2,"0,6748468443","0,3272690692"
Cx45,4,7d_NIM-2,"0,7275680309","0,6450454285"
Cx45,7,7d_NIM-2,"1,1231782168","1,2916012479"
Cx45,8,7d_NIM-2,"0,3543268501","0,9583408214"
Cx45,9,30d_NIM-2,"0,5516410705","0,2675200473"
Cx45,4,30d_NIM-2,"0,6103155652","0,5410920334"
Cx45,7,30d_NIM-2,"1,118676848","1,286424889"
Cx45,8,30d_NIM-2,"0,4595637009","1,2429728497"
Cx45,9,30d_NIM-2_1d_MAT,"0,5186969741","0,2515437056"
Cx45,4,30d_NIM-2_1d_MAT,"0,6637220579","0,5884410269"
Cx45,7,30d_NIM-2_1d_MAT,"0,8987114822","1,0334752353"
Cx45,8,30d_NIM-2_1d_MAT,"0,4634623204","1,2535173688"
